gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status,probe_clean,mapped_gene_symbol,gene_description
"""ILMN_1704621""",7.359010904345236,7.474376138812756,0.1153652344675206,0.4511714888800094,0.8800279959632266,Not Significant,ILMN_1704621,ILMN_1704621,Sonda Illumina
"""ILMN_1704627""",6.719084491066428,6.8089449917156255,0.0898605006491974,0.5893287685087657,0.9216785673838928,Not Significant,ILMN_1704627,ILMN_1704627,Sonda Illumina
"""ILMN_1704629""",6.909906425505769,6.854828098335892,-0.0550783271698769,0.3116543004807537,0.8199840329425501,Not Significant,ILMN_1704629,ILMN_1704629,Sonda Illumina
"""ILMN_1704637""",6.958228824267154,6.835531327923562,-0.1226974963435925,0.3143531934241795,0.8202650932465179,Not Significant,ILMN_1704637,ILMN_1704637,Sonda Illumina
"""ILMN_1704656""",7.077686263839292,7.094354322924237,0.016668059084945,0.8626527273836296,0.9812221540303688,Not Significant,ILMN_1704656,ILMN_1704656,Sonda Illumina
"""ILMN_1704665""",7.18616713398943,7.250957385339639,0.0647902513502085,0.8216330853605365,0.9743203735460194,Not Significant,ILMN_1704665,ILMN_1704665,Sonda Illumina
"""ILMN_1704672""",7.376022188185591,7.076843278662243,-0.2991789095233486,0.1253726001519022,0.6721467772592716,Not Significant,ILMN_1704672,ILMN_1704672,Sonda Illumina
"""ILMN_1704674""",6.717389146892887,6.73808144703222,0.0206923001393333,0.8203527606973792,0.9740472015280012,Not Significant,ILMN_1704674,ILMN_1704674,Sonda Illumina
"""ILMN_1704675""",6.717265228073781,6.586472537200763,-0.1307926908730179,0.0975057669144189,0.6330571823412466,Not Significant,ILMN_1704675,ILMN_1704675,Sonda Illumina
"""ILMN_1704682""",6.500832515340528,6.569958588296383,0.0691260729558544,0.2487486492757681,0.7865045871774894,Not Significant,ILMN_1704682,ILMN_1704682,Sonda Illumina
"""ILMN_1704692""",6.882140291444081,6.792970029602543,-0.0891702618415379,0.2291533316216338,0.7713553776318433,Not Significant,ILMN_1704692,ILMN_1704692,Sonda Illumina
"""ILMN_1704702""",6.610724844136092,6.575914275794967,-0.0348105683411246,0.6268987794846448,0.930528500382168,Not Significant,ILMN_1704702,ILMN_1704702,Sonda Illumina
"""ILMN_1704704""",6.550806776802505,6.512542902401863,-0.0382638744006413,0.5794968797250803,0.9182375607748232,Not Significant,ILMN_1704704,ILMN_1704704,Sonda Illumina
"""ILMN_1704713""",8.92089845858885,9.43852861920829,0.51763016061944,0.0064704889587173,0.2562717227342168,Not Significant,ILMN_1704713,ILMN_1704713,Sonda Illumina
"""ILMN_1704730""",6.65747039357405,6.450600827247754,-0.2068695663262953,0.0692594157568731,0.5719764071607318,Not Significant,ILMN_1704730,ILMN_1704730,Sonda Illumina
"""ILMN_1704750""",12.45359345066223,12.104200070832215,-0.3493933798300137,0.1663758309072662,0.718540750086457,Not Significant,ILMN_1704750,ILMN_1704750,Sonda Illumina
"""ILMN_1704751""",6.4711014903459105,6.456196339270103,-0.0149051510758075,0.7264436124949267,0.9554912600569604,Not Significant,ILMN_1704751,ILMN_1704751,Sonda Illumina
"""ILMN_1704753""",6.537713426504046,6.749214562706167,0.2115011362021208,0.0540042673115902,0.5310052091260131,Not Significant,ILMN_1704753,ILMN_1704753,Sonda Illumina
"""ILMN_1704754""",6.6823951265737564,6.620161134625219,-0.0622339919485375,0.3582027586607391,0.8418013876929298,Not Significant,ILMN_1704754,ILMN_1704754,Sonda Illumina
"""ILMN_1704760""",7.421054236298235,7.748069869960287,0.327015633662052,0.062944706685189,0.5581515401592674,Not Significant,ILMN_1704760,ILMN_1704760,Sonda Illumina
