gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status
"""ILMN_3234788""",6.6536459707994355,6.730552331223675,0.07690636042423904,0.25324165050046094,0.7895544999664332,Not Significant
"""ILMN_3234812""",6.590544449253914,6.568475652273297,-0.02206879698061659,0.6919579209681308,0.9482667816891407,Not Significant
"""ILMN_3234813""",6.601586038002907,6.6339517072392225,0.032365669236315675,0.5803934140097924,0.9182375607748231,Not Significant
"""ILMN_3234818""",6.70628297193627,6.751498135422874,0.04521516348660359,0.657741032864546,0.939845608129975,Not Significant
"""ILMN_3234823""",6.684988625218738,6.766017783736402,0.0810291585176639,0.4438625865688851,0.8771777598256928,Not Significant
"""ILMN_3234828""",6.661557563065647,6.765684003456802,0.10412644039115548,0.4614102977971971,0.8848389355518881,Not Significant
"""ILMN_3234831""",13.266592504902041,12.97291219862409,-0.2936803062779507,0.1233150236419668,0.6707606761906623,Not Significant
"""ILMN_3234837""",6.8454400015669545,6.87823404248102,0.0327940409140659,0.5448400312430461,0.9096157480244978,Not Significant
"""ILMN_3234841""",13.766450458415354,13.566318577364012,-0.20013188105134283,0.2424970261125966,0.7811573705019866,Not Significant
"""ILMN_3234852""",6.681383809986686,6.625276672573956,-0.05610713741272999,0.4569366581465844,0.8828834919012912,Not Significant
"""ILMN_3234860""",6.554756279618386,6.615626862752566,0.06087058313418048,0.3704997048412827,0.8465756503676749,Not Significant
"""ILMN_3234879""",6.731623396002533,6.824218384420057,0.0925949884175239,0.3507357566613746,0.8387831898204159,Not Significant
"""ILMN_3234884""",7.739715090947838,7.841107476678152,0.10139238573031406,0.721224710038275,0.9544136391895606,Not Significant
"""ILMN_3234888""",6.575625119566867,6.645988602997579,0.07036348343071186,0.4478624526928482,0.8788328697944814,Not Significant
"""ILMN_3234892""",6.59026137006699,6.580309646975152,-0.009951723091838005,0.870472747706341,0.9828029534904217,Not Significant
"""ILMN_3234896""",6.655816385137929,6.625591214466506,-0.030225170671423385,0.6289753498497477,0.9310707143671356,Not Significant
"""ILMN_3234905""",6.6389051290441135,6.725495114421738,0.08658998537762486,0.23801884647612845,0.7787225153327797,Not Significant
"""ILMN_3234910""",6.726378127294763,6.750395010745765,0.024016883451002613,0.8148348708725593,0.9730076514433784,Not Significant
"""ILMN_3234920""",7.266540147121451,7.4531859207242075,0.18664577360275647,0.25797596909218407,0.7923395320438282,Not Significant
"""ILMN_3234922""",6.722817440275776,6.704778148157914,-0.01803929211786226,0.8591456435621296,0.9803972790841754,Not Significant
"""ILMN_3234932""",6.719644388670782,6.628484648771075,-0.09115973989970705,0.31013565787330555,0.818923075884761,Not Significant
"""ILMN_3234936""",7.199785260036937,7.264793658815188,0.06500839877825104,0.6951900233263009,0.948947654198636,Not Significant
"""ILMN_3234941""",6.516744562392285,6.6822581458454975,0.16551358345321265,0.018747523472647267,0.37719028837123353,Not Significant
"""ILMN_3234948""",6.760825272826578,6.698778756074505,-0.06204651675207273,0.3556273426920733,0.8405494972045153,Not Significant
"""ILMN_3234950""",6.5588059885926295,6.567697427355225,0.00889143876259535,0.8765799831485128,0.9832914545168743,Not Significant
"""ILMN_3234955""",6.624963455793475,6.667196724298405,0.04223326850492981,0.6613741753715324,0.9405947521700263,Not Significant
"""ILMN_3234959""",6.840445209795831,6.791936248632034,-0.04850896116379744,0.4488236772354093,0.8790821114192929,Not Significant
"""ILMN_3234963""",7.170390666848435,7.083607176306947,-0.08678349054148882,0.43307538445551585,0.87375704430774,Not Significant
"""ILMN_3234967""",7.095669253396153,7.103943901690023,0.008274648293870257,0.92197754295648,0.9900408708632122,Not Significant
"""ILMN_3234969""",6.683882173335621,6.689004479962807,0.005122306627185935,0.9467998031516656,0.9933158959082135,Not Significant
"""ILMN_3234974""",6.564998529216749,6.578449813818193,0.013451284601444513,0.8359495740696432,0.9769396422883894,Not Significant
"""ILMN_3234979""",6.841496305296985,6.964098785278205,0.12260247998121976,0.18954406303359814,0.7369302575981115,Not Significant
"""ILMN_3234984""",6.58440478223261,6.588890894838142,0.004486112605532,0.9272696471110157,0.9906433246925488,Not Significant
"""ILMN_3234989""",6.756926944536106,6.683437283370625,-0.07348966116548095,0.3680814037430904,0.8455578777901022,Not Significant
"""ILMN_3234993""",11.474493158352566,11.46208871297382,-0.012404445378745521,0.954765104633972,0.9945468882751569,Not Significant
"""ILMN_3234997""",8.493899026119744,8.232038269403326,-0.26186075671641795,0.10343813354025473,0.6433748576838058,Not Significant
"""ILMN_3235003""",6.804402285635265,6.783315198268539,-0.021087087366725932,0.7947494432291301,0.9691145612044711,Not Significant
"""ILMN_3235006""",8.340570221658464,7.957805736511983,-0.3827644851464802,0.16109014347242248,0.7134406884491465,Not Significant
"""ILMN_3235013""",10.647598018334325,10.149940530579766,-0.49765748775455876,0.02322162981119194,0.4064398277085095,Not Significant
"""ILMN_3235021""",6.625937696615078,6.638366797364699,0.012429100749621114,0.8667786452562826,0.9819229164694441,Not Significant
"""ILMN_3235027""",7.338504317325795,7.480712848485389,0.14220853115959375,0.4172231224281029,0.8689734046660008,Not Significant
"""ILMN_3235031""",7.021994173107447,6.883686840420729,-0.13830733268671747,0.29349932271285245,0.8096687825297039,Not Significant
"""ILMN_3235036""",6.836832566540761,6.995034981811965,0.15820241527120338,0.21566598015472596,0.7623970248746859,Not Significant
"""ILMN_3235044""",6.654150263431508,6.66270556894339,0.008555305511881883,0.8826801027617784,0.9845535193653605,Not Significant
"""ILMN_3235046""",6.884351924127081,7.0019647934167795,0.11761286928969827,0.34299736266757214,0.8356743532889505,Not Significant
"""ILMN_3235051""",7.341000176142662,7.385221514210171,0.0442213380675085,0.8644132070259544,0.9814505823138151,Not Significant
"""ILMN_3235061""",6.680043297047673,6.6562910192089735,-0.023752277838699598,0.7839808995515702,0.9666049894758599,Not Significant
"""ILMN_3235065""",7.438739075178316,7.178598025682452,-0.26014104949586425,0.2864148833532792,0.8061792182745094,Not Significant
"""ILMN_3235074""",6.547334916568343,6.625152000751752,0.07781708418340916,0.40495631058996595,0.8639258841725063,Not Significant
"""ILMN_3235088""",6.70537592584116,6.679661103595896,-0.025714822245264557,0.6114995221608882,0.9269130599621721,Not Significant
"""ILMN_3235096""",7.14810273798858,7.282535028537242,0.1344322905486619,0.585944497161347,0.920433919655051,Not Significant
"""ILMN_3235101""",6.7063259753876405,6.677284307757556,-0.029041667630084866,0.7759389213629538,0.9647775332018579,Not Significant
"""ILMN_3235104""",8.102954152925284,8.10939703184412,0.0064428789188362146,0.9735727807599044,0.9974785114452406,Not Significant
"""ILMN_3235109""",6.636062404826573,6.614367345751079,-0.021695059075494072,0.7957029232244749,0.9694754764516433,Not Significant
"""ILMN_3235113""",10.892311289378215,10.685007623597334,-0.20730366578088066,0.2204482379767608,0.7657830900117436,Not Significant
"""ILMN_3235118""",6.779109100459806,6.738376942352308,-0.04073215810749797,0.55060193721519,0.9106825312885853,Not Significant
"""ILMN_3235126""",6.752392154935428,6.8488589751952045,0.09646682025977604,0.19950454648314564,0.7468600630958007,Not Significant
"""ILMN_3235128""",6.660071785478041,6.667386837024783,0.007315051546742168,0.8980930763479706,0.9876399109421653,Not Significant
"""ILMN_3235133""",6.677680166707249,6.648625382807782,-0.029054783899467473,0.5458938586515631,0.9096157480244978,Not Significant
"""ILMN_3235143""",7.022434577030445,6.947977657302434,-0.0744569197280116,0.47751470846390043,0.8922877788904886,Not Significant
"""ILMN_3235148""",12.462104947493822,12.004023344285923,-0.4580816032078996,0.15338855317152014,0.7059517895819986,Not Significant
"""ILMN_3235154""",6.5776570699623225,6.634689574960916,0.05703250499859358,0.6261483932176308,0.9302189255640672,Not Significant
"""ILMN_3235158""",6.623063041603393,6.610500090915484,-0.012562950687908803,0.8140522403158595,0.9730076514433784,Not Significant
"""ILMN_3235163""",6.549434277491136,6.601823731655839,0.052389454164702975,0.3724896434618004,0.8473503710343168,Not Significant
"""ILMN_3235168""",9.01900195053297,9.187698521221522,0.16869657068855126,0.16862060485377164,0.7205929692611265,Not Significant
"""ILMN_3235171""",6.6551276758080125,6.56882410066523,-0.08630357514278231,0.2081148153562049,0.755470996393637,Not Significant
"""ILMN_3235176""",6.627070447661938,6.703068789604549,0.07599834194261046,0.4843131461746274,0.894891067279145,Not Significant
"""ILMN_3235180""",6.708957298882628,6.690747232533016,-0.018210066349611864,0.7694770357295302,0.9631583656139262,Not Significant
"""ILMN_3235185""",7.32083241675755,7.043223670387785,-0.27760874636976496,0.0074108853152550485,0.2750513756887719,Not Significant
"""ILMN_3235188""",7.025129559603118,6.8376461622598965,-0.18748339734322172,0.08475666253142808,0.6097870402714273,Not Significant
"""ILMN_3235196""",7.025644925954498,7.286342018755548,0.2606970928010499,0.03260383603515764,0.4539920450714419,Not Significant
"""ILMN_3235198""",6.580088011681534,6.533801254166614,-0.04628675751491951,0.47614711757590855,0.8914536044435938,Not Significant
"""ILMN_3235216""",7.578324946984546,7.662569720306342,0.08424477332179592,0.6244682639210428,0.9299222591264287,Not Significant
"""ILMN_3235221""",11.199348181779868,11.01795456665587,-0.18139361512399788,0.7425944682122139,0.9578299551149498,Not Significant
"""ILMN_3235231""",6.7948645371318666,6.96808608374935,0.17322154661748357,0.060402624664017524,0.5503502144240001,Not Significant
"""ILMN_3235234""",6.641867008503047,6.651677030558882,0.009810022055835255,0.8819217428339432,0.984143462834542,Not Significant
"""ILMN_3235239""",6.609737959598863,6.578244941860885,-0.031493017737977524,0.6724060378569885,0.9431742387191888,Not Significant
"""ILMN_3235246""",6.664133258855512,6.747799676341046,0.08366641748553416,0.3272259417059665,0.8275249588203016,Not Significant
"""ILMN_3235254""",6.581698266954507,6.637071340684864,0.05537307373035727,0.4647407998547799,0.8857855996985669,Not Significant
"""ILMN_3235264""",6.7415583088874005,6.743055422692548,0.0014971138051471655,0.9782067888892368,0.9980824442417623,Not Significant
"""ILMN_3235266""",6.685339069446277,6.5654354978999265,-0.11990357154635056,0.13564531988063885,0.6851772530306555,Not Significant
"""ILMN_3235270""",6.758431995852559,6.884902540696435,0.1264705448438752,0.23930528714259355,0.7795028408782663,Not Significant
"""ILMN_3235277""",6.587603478435324,6.5370641303214585,-0.0505393481138654,0.37395102540002634,0.8483625092402699,Not Significant
"""ILMN_3235279""",6.5012931183973235,6.631808618054426,0.1305154996571023,0.17054583309484095,0.7219861275110305,Not Significant
"""ILMN_3235282""",7.667631208171668,7.380129667091255,-0.28750154108041315,0.027989740682535336,0.4325612406395345,Not Significant
"""ILMN_3235289""",6.734857898572939,6.806330425153439,0.07147252658050007,0.3247291869813674,0.8264719494201053,Not Significant
"""ILMN_3235303""",6.809169974986913,6.8459828289022395,0.036812853915326293,0.6541400309229676,0.9391176015116928,Not Significant
"""ILMN_3235308""",6.557983318225039,6.531807929899786,-0.026175388325253124,0.8299754584675268,0.9755671278656294,Not Significant
"""ILMN_3235312""",6.921077274903482,6.840465671632844,-0.0806116032706381,0.36854432440272333,0.8456798052884854,Not Significant
"""ILMN_3235316""",6.618434417896178,6.608113892175966,-0.01032052572021147,0.9238714989574944,0.9903309160543112,Not Significant
"""ILMN_3235325""",7.271692537579833,7.110337608455777,-0.16135492912405613,0.33182821661247874,0.8298052068934084,Not Significant
"""ILMN_3235326""",7.894798936913335,7.85242177897541,-0.04237715793792507,0.8121627448760691,0.9726864345027957,Not Significant
"""ILMN_3235334""",6.7874438186758805,6.796940785117381,0.009496966441500554,0.9128453617766983,0.9892924269401495,Not Significant
"""ILMN_3235335""",6.577182406327184,6.603458766826707,0.026276360499522866,0.7687613585660525,0.9627569207155594,Not Significant
"""ILMN_3235340""",7.354120177116168,7.405172908912178,0.05105273179600989,0.7337155898394232,0.9566088955804497,Not Significant
"""ILMN_3235345""",6.597298377398637,6.660985553012128,0.06368717561349069,0.45846072264335613,0.8834146456812053,Not Significant
"""ILMN_3235350""",6.745164013965557,6.619695577531689,-0.1254684364338674,0.11811519681649806,0.6636268697158849,Not Significant
"""ILMN_3235357""",7.690758412086268,7.533681727561456,-0.15707668452481194,0.528465645346408,0.9062103877715767,Not Significant
"""ILMN_3235358""",6.860403813922119,6.810538292666078,-0.0498655212560406,0.5892866274485479,0.9216785673838928,Not Significant
"""ILMN_3235368""",6.792598984687736,6.833767168879774,0.04116818419203838,0.669642489715038,0.9419138557929054,Not Significant
"""ILMN_3235373""",6.77980284388846,6.773301526562759,-0.006501317325700917,0.9483985677431778,0.9934115943324845,Not Significant
"""ILMN_3235379""",6.596693826310521,6.554652669544912,-0.04204115676560871,0.5144207487162551,0.9035167086912667,Not Significant
"""ILMN_3235383""",6.9953945251817276,7.055692858276425,0.06029833309469712,0.5327452426287544,0.9076914541286802,Not Significant
"""ILMN_3235392""",6.965301386236402,7.123598747847777,0.15829736161137475,0.12196885900226782,0.6690580082628034,Not Significant
"""ILMN_3235397""",6.728599550869807,6.887291575872649,0.15869202500284274,0.10994335422866783,0.6528585099077413,Not Significant
"""ILMN_3235404""",7.742528319143479,7.758495428534826,0.01596710939134738,0.9679744141646024,0.9964436305484816,Not Significant
"""ILMN_3235409""",6.671024277979844,6.786111974088721,0.11508769610887715,0.08782266280532829,0.6159561622366888,Not Significant
"""ILMN_3235410""",11.231603832139658,10.85096201764029,-0.3806418144993682,0.36146732620301236,0.842553196341897,Not Significant
"""ILMN_3235416""",6.980681208908878,6.985693576855587,0.005012367946708451,0.9439320448187256,0.9928730477106921,Not Significant
"""ILMN_3235420""",7.329337130821313,7.231002121844457,-0.09833500897685532,0.33035327251126423,0.8287190277456181,Not Significant
"""ILMN_3235435""",6.699211031836242,6.762566692409716,0.06335566057347375,0.5508043301625047,0.9106825312885853,Not Significant
"""ILMN_3235439""",6.663777931942684,6.558550500410701,-0.10522743153198366,0.1130074637087,0.6571179884688366,Not Significant
"""ILMN_3235446""",6.6061143195510805,6.523021553369364,-0.0830927661817169,0.32507691555738416,0.8264719494201053,Not Significant
"""ILMN_3235449""",6.596849901343707,6.591216180200907,-0.005633721142800141,0.9002457193539074,0.9878117727484864,Not Significant
"""ILMN_3235457""",6.671557210120658,6.481704273730665,-0.18985293638999234,0.011802032228078007,0.32943698137171895,Not Significant
"""ILMN_3235462""",6.706269283437138,6.710112982714554,0.003843699277416235,0.9436742805899209,0.9928730477106921,Not Significant
"""ILMN_3235467""",6.653047856420533,6.634698381021875,-0.018349475398657944,0.8612813811280743,0.9811288862331318,Not Significant
"""ILMN_3235472""",7.1781032648007015,7.2812957792905735,0.10319251448987199,0.2603307228786976,0.7939770866304504,Not Significant
"""ILMN_3235477""",7.8237998667263255,7.980637306845262,0.1568374401189363,0.5153079750542622,0.9035167086912667,Not Significant
"""ILMN_3235482""",6.706629802917746,6.586775574672993,-0.119854228244753,0.053181447093010946,0.5295033617848226,Not Significant
"""ILMN_3235487""",6.58186368270052,6.602202158641871,0.020338475941350964,0.8296507014354072,0.9755671278656294,Not Significant
"""ILMN_3235503""",6.691616674609581,6.549703514988673,-0.14191315962090822,0.14313363279114136,0.692238573437831,Not Significant
"""ILMN_3235511""",6.573796116627541,6.661950948071666,0.0881548314441245,0.04397229364493583,0.5005791096862803,Not Significant
"""ILMN_3235514""",9.204925618726602,9.655136405793908,0.4502107870673058,0.18501200253737035,0.7333684848442705,Not Significant
"""ILMN_3235517""",7.088847392903399,7.204364107354925,0.11551671445152589,0.6160134193511677,0.9276713411369815,Not Significant
"""ILMN_3235525""",6.573872671029724,6.671452547719724,0.09757987669000023,0.048456763329505104,0.5135646243537973,Not Significant
"""ILMN_3235526""",6.595338080666603,6.5637316422418674,-0.03160643842473565,0.7676738006864832,0.9627569207155594,Not Significant
"""ILMN_3235539""",7.072255771682949,7.072522105803007,0.0002663341200586089,0.9985138073695903,0.9998107373133491,Not Significant
"""ILMN_3235542""",6.646799508344053,6.691159443041348,0.0443599346972956,0.576147141545168,0.9181968664408954,Not Significant
"""ILMN_3235547""",6.58365008780017,6.633760364399878,0.05011027659970768,0.492967500533973,0.8980275014497465,Not Significant
"""ILMN_3235549""",6.852909740701207,6.803886123279649,-0.04902361742155836,0.6288767559803057,0.9310707143671356,Not Significant
"""ILMN_3235556""",6.503682045327264,6.482265384635873,-0.02141666069139081,0.7783729695007193,0.9651838373342367,Not Significant
"""ILMN_3235559""",6.539072783892003,6.5780589316026665,0.038986147710663666,0.4663640742892677,0.8866538513235209,Not Significant
"""ILMN_3235567""",6.965059829560363,6.84798280694779,-0.11707702261257236,0.19004033045488972,0.7371195779672113,Not Significant
"""ILMN_3235571""",6.520734574160125,6.5681528345024685,0.04741826034234364,0.5422382027004564,0.909352888894727,Not Significant
"""ILMN_3235576""",6.624071514698551,6.624602748039257,0.0005312333407054837,0.99618442050685,0.9996610714664814,Not Significant
"""ILMN_3235584""",7.91760251164534,7.658067433613245,-0.2595350780320951,0.26680590331566817,0.7970767004908622,Not Significant
